sample_id,bert_alerts
15,"[{""offset"":140,""char"":""巷"",""error_prob"":0.8668},{""offset"":228,""char"":""投"",""error_prob"":0.8789},{""offset"":254,""char"":""攺"",""error_prob"":0.9423},{""offset"":334,""char"":""投"",""error_prob"":0.8745}]"
16,"[{""offset"":296,""char"":""吏"",""error_prob"":0.8209},{""offset"":329,""char"":""机"",""error_prob"":0.9966},{""offset"":330,""char"":""郝"",""error_prob"":0.8986},{""offset"":352,""char"":""興"",""error_prob"":0.971},{""offset"":433,""char"":""爲"",""error_prob"":0.8828}]"
17,"[{""offset"":163,""char"":""隘"",""error_prob"":0.8351},{""offset"":392,""char"":""照"",""error_prob"":0.8676},{""offset"":452,""char"":""己"",""error_prob"":0.909}]"
18,"[{""offset"":23,""char"":""曰"",""error_prob"":0.9902}]"
19,"[{""offset"":141,""char"":""丗"",""error_prob"":0.9854},{""offset"":142,""char"":""丗"",""error_prob"":0.9934},{""offset"":234,""char"":""庠"",""error_prob"":0.9777},{""offset"":382,""char"":""曽"",""error_prob"":0.8571}]"
20,[]
21,"[{""offset"":270,""char"":""白"",""error_prob"":0.9569},{""offset"":352,""char"":""臯"",""error_prob"":0.8443}]"
22,"[{""offset"":260,""char"":""遊"",""error_prob"":0.8775}]"
23,"[{""offset"":164,""char"":""白"",""error_prob"":0.8353},{""offset"":348,""char"":""己"",""error_prob"":0.8804},{""offset"":385,""char"":""摰"",""error_prob"":0.9489},{""offset"":451,""char"":""蘭"",""error_prob"":0.9764}]"
24,"[{""offset"":182,""char"":""欬"",""error_prob"":0.9651},{""offset"":249,""char"":""䘏"",""error_prob"":0.8315},{""offset"":265,""char"":""䘏"",""error_prob"":0.8547},{""offset"":436,""char"":""人"",""error_prob"":0.8562},{""offset"":455,""char"":""棗"",""error_prob"":0.8583}]"
25,"[{""offset"":19,""char"":""迥"",""error_prob"":0.9704},{""offset"":25,""char"":""迥"",""error_prob"":0.9617},{""offset"":83,""char"":""令"",""error_prob"":0.8881},{""offset"":180,""char"":""十"",""error_prob"":0.8519},{""offset"":393,""char"":""敵"",""error_prob"":0.8237},{""offset"":481,""char"":""己"",""error_prob"":0.88}]"
26,"[{""offset"":290,""char"":""怕"",""error_prob"":0.8543},{""offset"":548,""char"":""井"",""error_prob"":0.8545}]"
27,[]
28,"[{""offset"":46,""char"":""憚"",""error_prob"":0.8098},{""offset"":73,""char"":""湮"",""error_prob"":0.9509},{""offset"":292,""char"":""機"",""error_prob"":0.8216}]"
29,"[{""offset"":210,""char"":""仕"",""error_prob"":0.8855},{""offset"":250,""char"":""除"",""error_prob"":0.8268},{""offset"":265,""char"":""荀"",""error_prob"":0.801},{""offset"":283,""char"":""襄"",""error_prob"":0.9209},{""offset"":294,""char"":""裏"",""error_prob"":0.9677},{""offset"":312,""char"":""途"",""error_prob"":0.8296},{""offset"":326,""char"":""裏"",""error_prob"":0.9236},{""offset"":358,""char"":""翰"",""error_prob"":0.8086},{""offset"":390,""char"":""曰"",""error_prob"":0.9748},{""offset"":398,""char"":""曰"",""error_prob"":0.9695},{""offset"":506,""char"":""浜"",""error_prob"":0.9804}]"
30,"[{""offset"":56,""char"":""瓣"",""error_prob"":0.9585},{""offset"":78,""char"":""零"",""error_prob"":0.8513},{""offset"":221,""char"":""蘭"",""error_prob"":0.8373},{""offset"":273,""char"":""冉"",""error_prob"":0.9831},{""offset"":299,""char"":""今"",""error_prob"":0.9676},{""offset"":411,""char"":""竭"",""error_prob"":0.8998}]"
31,"[{""offset"":91,""char"":""賤"",""error_prob"":0.9159},{""offset"":101,""char"":""窹"",""error_prob"":0.943},{""offset"":123,""char"":""閻"",""error_prob"":0.9566},{""offset"":203,""char"":""閎"",""error_prob"":0.8122},{""offset"":209,""char"":""綺"",""error_prob"":0.8266},{""offset"":278,""char"":""閑"",""error_prob"":0.9013},{""offset"":318,""char"":""紙"",""error_prob"":0.8611},{""offset"":320,""char"":""拼"",""error_prob"":0.8402},{""offset"":348,""char"":""閎"",""error_prob"":0.882},{""offset"":391,""char"":""閎"",""error_prob"":0.9612},{""offset"":422,""char"":""閎"",""error_prob"":0.9122},{""offset"":463,""char"":""崑"",""error_prob"":0.8919}]"
32,"[{""offset"":56,""char"":""蠆"",""error_prob"":0.8754},{""offset"":101,""char"":""目"",""error_prob"":0.9502},{""offset"":240,""char"":""劑"",""error_prob"":0.9724},{""offset"":259,""char"":""誠"",""error_prob"":0.985}]"
33,"[{""offset"":141,""char"":""闊"",""error_prob"":0.9569},{""offset"":331,""char"":""諴"",""error_prob"":0.9874},{""offset"":445,""char"":""杏"",""error_prob"":0.856}]"
34,"[{""offset"":399,""char"":""井"",""error_prob"":0.8585},{""offset"":547,""char"":""劑"",""error_prob"":0.9534}]"
35,[]
36,"[{""offset"":107,""char"":""肻"",""error_prob"":0.9862},{""offset"":195,""char"":""今"",""error_prob"":0.8177}]"
37,"[{""offset"":188,""char"":""梠"",""error_prob"":0.9092}]"
38,"[{""offset"":61,""char"":""左"",""error_prob"":0.8684},{""offset"":75,""char"":""秦"",""error_prob"":0.9619},{""offset"":170,""char"":""㳂"",""error_prob"":0.832}]"
39,[]
40,"[{""offset"":76,""char"":""把"",""error_prob"":0.8834},{""offset"":142,""char"":""瓏"",""error_prob"":0.9978}]"
41,"[{""offset"":18,""char"":""獸"",""error_prob"":0.8112},{""offset"":52,""char"":""獲"",""error_prob"":0.8805},{""offset"":116,""char"":""溧"",""error_prob"":0.8637},{""offset"":144,""char"":""耒"",""error_prob"":0.9931},{""offset"":296,""char"":""冦"",""error_prob"":0.8518}]"
42,"[{""offset"":21,""char"":""已"",""error_prob"":0.9312},{""offset"":86,""char"":""開"",""error_prob"":0.8596},{""offset"":105,""char"":""闕"",""error_prob"":0.9488},{""offset"":116,""char"":""凡"",""error_prob"":0.9823},{""offset"":154,""char"":""令"",""error_prob"":0.9355},{""offset"":265,""char"":""天"",""error_prob"":0.8391}]"
43,"[{""offset"":170,""char"":""己"",""error_prob"":0.9482}]"
44,[]
45,"[{""offset"":188,""char"":""不"",""error_prob"":0.8881},{""offset"":224,""char"":""楽"",""error_prob"":0.9921},{""offset"":326,""char"":""沂"",""error_prob"":0.9362}]"
46,"[{""offset"":8,""char"":""育"",""error_prob"":0.8843},{""offset"":9,""char"":""沛"",""error_prob"":0.8331},{""offset"":153,""char"":""佤"",""error_prob"":0.9956}]"
47,[]
48,"[{""offset"":146,""char"":""比"",""error_prob"":0.8435},{""offset"":203,""char"":""鬢"",""error_prob"":0.8693}]"
49,"[{""offset"":61,""char"":""䍺"",""error_prob"":0.9044},{""offset"":94,""char"":""蠃"",""error_prob"":0.9159}]"
50,"[{""offset"":3,""char"":""痺"",""error_prob"":0.8833},{""offset"":79,""char"":""弋"",""error_prob"":0.8694},{""offset"":95,""char"":""鵁"",""error_prob"":0.8952}]"
51,[]
52,"[{""offset"":12,""char"":""闢"",""error_prob"":0.8948}]"
53,"[{""offset"":20,""char"":""稚"",""error_prob"":0.8322},{""offset"":21,""char"":""問"",""error_prob"":0.8034},{""offset"":134,""char"":""茫"",""error_prob"":0.9321},{""offset"":149,""char"":""峨"",""error_prob"":0.8457},{""offset"":297,""char"":""櫨"",""error_prob"":0.9646},{""offset"":351,""char"":""駁"",""error_prob"":0.9416},{""offset"":402,""char"":""兒"",""error_prob"":0.9013},{""offset"":516,""char"":""剛"",""error_prob"":0.8567}]"
54,"[{""offset"":10,""char"":""隍"",""error_prob"":0.9054}]"
55,[]
56,[]
57,[]
58,[]
59,"[{""offset"":237,""char"":""今"",""error_prob"":0.9448}]"
60,[]
61,[]
62,"[{""offset"":8,""char"":""遽"",""error_prob"":0.8934},{""offset"":20,""char"":""榖"",""error_prob"":0.8425},{""offset"":156,""char"":""騷"",""error_prob"":0.86},{""offset"":179,""char"":""頌"",""error_prob"":0.9772},{""offset"":236,""char"":""於"",""error_prob"":0.8952},{""offset"":258,""char"":""干"",""error_prob"":0.9134},{""offset"":331,""char"":""北"",""error_prob"":0.9068},{""offset"":352,""char"":""西"",""error_prob"":0.9255},{""offset"":419,""char"":""合"",""error_prob"":0.8428},{""offset"":460,""char"":""頸"",""error_prob"":0.9195},{""offset"":461,""char"":""頸"",""error_prob"":0.8453},{""offset"":485,""char"":""鹹"",""error_prob"":0.9095},{""offset"":587,""char"":""道"",""error_prob"":0.8976},{""offset"":591,""char"":""賔"",""error_prob"":0.9465},{""offset"":639,""char"":""即"",""error_prob"":0.9062},{""offset"":640,""char"":""即"",""error_prob"":0.8456},{""offset"":659,""char"":""即"",""error_prob"":0.9326},{""offset"":660,""char"":""即"",""error_prob"":0.8829},{""offset"":694,""char"":""庭"",""error_prob"":0.8501},{""offset"":750,""char"":""揚"",""error_prob"":0.9479},{""offset"":753,""char"":""辠"",""error_prob"":0.9689},{""offset"":788,""char"":""滅"",""error_prob"":0.821},{""offset"":790,""char"":""齒"",""error_prob"":0.9476},{""offset"":791,""char"":""悟"",""error_prob"":0.8595}]"
63,"[{""offset"":25,""char"":""逐"",""error_prob"":0.9276},{""offset"":89,""char"":""草"",""error_prob"":0.9694},{""offset"":261,""char"":""賛"",""error_prob"":0.8034},{""offset"":279,""char"":""趂"",""error_prob"":0.9758},{""offset"":335,""char"":""付"",""error_prob"":0.9841}]"
64,"[{""offset"":13,""char"":""毌"",""error_prob"":0.9706},{""offset"":31,""char"":""丈"",""error_prob"":0.9965},{""offset"":165,""char"":""閱"",""error_prob"":0.9118},{""offset"":193,""char"":""卻"",""error_prob"":0.8025}]"
65,"[{""offset"":71,""char"":""馬"",""error_prob"":0.9081},{""offset"":185,""char"":""今"",""error_prob"":0.8599},{""offset"":441,""char"":""锼"",""error_prob"":0.9015},{""offset"":452,""char"":""锼"",""error_prob"":0.9329}]"
66,"[{""offset"":104,""char"":""繕"",""error_prob"":0.9295},{""offset"":411,""char"":""蟆"",""error_prob"":0.9133},{""offset"":435,""char"":""蟆"",""error_prob"":0.8467}]"
67,"[{""offset"":223,""char"":""兩"",""error_prob"":0.9853}]"
68,"[{""offset"":66,""char"":""闓"",""error_prob"":0.9984},{""offset"":132,""char"":""抮"",""error_prob"":0.9321},{""offset"":166,""char"":""抮"",""error_prob"":0.8851},{""offset"":202,""char"":""宋"",""error_prob"":0.8944},{""offset"":208,""char"":""具"",""error_prob"":0.8626},{""offset"":209,""char"":""闕"",""error_prob"":0.8294},{""offset"":210,""char"":""𠔃"",""error_prob"":0.8374},{""offset"":238,""char"":""令"",""error_prob"":0.9255},{""offset"":259,""char"":""丗"",""error_prob"":0.9772},{""offset"":283,""char"":""幷"",""error_prob"":0.8486},{""offset"":302,""char"":""丗"",""error_prob"":0.9874},{""offset"":330,""char"":""頃"",""error_prob"":0.9766},{""offset"":344,""char"":""丗"",""error_prob"":0.9888},{""offset"":358,""char"":""丗"",""error_prob"":0.9895},{""offset"":404,""char"":""依"",""error_prob"":0.8849}]"
69,"[{""offset"":61,""char"":""厚"",""error_prob"":0.9809},{""offset"":211,""char"":""表"",""error_prob"":0.9079},{""offset"":273,""char"":""仔"",""error_prob"":0.838}]"
70,"[{""offset"":2,""char"":""府"",""error_prob"":0.8293},{""offset"":28,""char"":""東"",""error_prob"":0.9924},{""offset"":32,""char"":""道"",""error_prob"":0.8974},{""offset"":119,""char"":""東"",""error_prob"":0.9882},{""offset"":124,""char"":""緟"",""error_prob"":0.9984},{""offset"":151,""char"":""緟"",""error_prob"":0.9627},{""offset"":286,""char"":""井"",""error_prob"":0.9191},{""offset"":287,""char"":""年"",""error_prob"":0.8251},{""offset"":288,""char"":""未"",""error_prob"":0.8252}]"
71,"[{""offset"":25,""char"":""己"",""error_prob"":0.8873}]"
72,[]
73,"[{""offset"":237,""char"":""己"",""error_prob"":0.9255}]"
74,[]
75,"[{""offset"":83,""char"":""棘"",""error_prob"":0.8756}]"
76,"[{""offset"":278,""char"":""丗"",""error_prob"":0.9608}]"
77,"[{""offset"":79,""char"":""丗"",""error_prob"":0.9394},{""offset"":133,""char"":""芭"",""error_prob"":0.9813}]"
78,[]
79,[]
80,[]
81,"[{""offset"":0,""char"":""奉"",""error_prob"":0.8213}]"
82,"[{""offset"":65,""char"":""漠"",""error_prob"":0.9733},{""offset"":124,""char"":""楊"",""error_prob"":0.8701},{""offset"":336,""char"":""寅"",""error_prob"":0.997}]"
83,"[{""offset"":0,""char"":""少"",""error_prob"":0.8201}]"
84,"[{""offset"":106,""char"":""瀚"",""error_prob"":0.859},{""offset"":214,""char"":""尒"",""error_prob"":0.9784},{""offset"":326,""char"":""將"",""error_prob"":0.9456}]"
85,[]
86,[]
87,"[{""offset"":45,""char"":""喪"",""error_prob"":0.8042}]"
88,[]
89,"[{""offset"":140,""char"":""曗"",""error_prob"":0.8548},{""offset"":152,""char"":""煇"",""error_prob"":0.8947},{""offset"":184,""char"":""蘖"",""error_prob"":0.9382},{""offset"":289,""char"":""乎"",""error_prob"":0.8604},{""offset"":442,""char"":""悔"",""error_prob"":0.8608}]"
90,"[{""offset"":37,""char"":""戶"",""error_prob"":0.9464},{""offset"":184,""char"":""齡"",""error_prob"":0.9962},{""offset"":315,""char"":""齡"",""error_prob"":0.9966},{""offset"":389,""char"":""腵"",""error_prob"":0.9911},{""offset"":413,""char"":""齡"",""error_prob"":0.9961}]"
91,"[{""offset"":59,""char"":""濫"",""error_prob"":0.8211}]"
92,"[{""offset"":118,""char"":""焱"",""error_prob"":0.973}]"
93,"[{""offset"":261,""char"":""涯"",""error_prob"":0.9406},{""offset"":397,""char"":""羊"",""error_prob"":0.9171}]"
94,[]
95,[]
96,"[{""offset"":63,""char"":""輿"",""error_prob"":0.9804}]"
97,[]
98,"[{""offset"":81,""char"":""丗"",""error_prob"":0.8242},{""offset"":141,""char"":""几"",""error_prob"":0.9902}]"
99,"[{""offset"":216,""char"":""几"",""error_prob"":0.8741},{""offset"":232,""char"":""革"",""error_prob"":0.9037}]"
100,"[{""offset"":135,""char"":""疊"",""error_prob"":0.8447},{""offset"":160,""char"":""郎"",""error_prob"":0.9821},{""offset"":245,""char"":""母"",""error_prob"":0.8609}]"
101,"[{""offset"":64,""char"":""興"",""error_prob"":0.9815},{""offset"":257,""char"":""覲"",""error_prob"":0.9884},{""offset"":329,""char"":""鏤"",""error_prob"":0.8161},{""offset"":333,""char"":""印"",""error_prob"":0.8127},{""offset"":347,""char"":""飲"",""error_prob"":0.9523}]"
102,"[{""offset"":46,""char"":""袞"",""error_prob"":0.9978},{""offset"":72,""char"":""已"",""error_prob"":0.9392},{""offset"":148,""char"":""首"",""error_prob"":0.9923},{""offset"":292,""char"":""舂"",""error_prob"":0.8835}]"
103,"[{""offset"":287,""char"":""曆"",""error_prob"":0.9594}]"
104,"[{""offset"":133,""char"":""簙"",""error_prob"":0.9953},{""offset"":203,""char"":""槩"",""error_prob"":0.851},{""offset"":280,""char"":""餓"",""error_prob"":0.9649}]"
105,"[{""offset"":185,""char"":""曆"",""error_prob"":0.9335}]"
106,"[{""offset"":208,""char"":""裵"",""error_prob"":0.9834}]"
107,"[{""offset"":41,""char"":""兔"",""error_prob"":0.9275}]"
108,"[{""offset"":9,""char"":""減"",""error_prob"":0.9862},{""offset"":129,""char"":""榮"",""error_prob"":0.9733},{""offset"":188,""char"":""比"",""error_prob"":0.8602}]"
109,[]
110,"[{""offset"":9,""char"":""入"",""error_prob"":0.9629},{""offset"":98,""char"":""眊"",""error_prob"":0.8195},{""offset"":99,""char"":""燥"",""error_prob"":0.8033}]"
111,[]
112,[]
113,[]
114,"[{""offset"":21,""char"":""之"",""error_prob"":0.8329}]"
115,"[{""offset"":26,""char"":""違"",""error_prob"":0.8459}]"
116,[]
117,[]
118,"[{""offset"":41,""char"":""詰"",""error_prob"":0.8112},{""offset"":231,""char"":""亢"",""error_prob"":0.9007},{""offset"":272,""char"":""實"",""error_prob"":0.8823},{""offset"":273,""char"":""充"",""error_prob"":0.9738},{""offset"":347,""char"":""殘"",""error_prob"":0.9947}]"
119,"[{""offset"":116,""char"":""舂"",""error_prob"":0.9522},{""offset"":161,""char"":""接"",""error_prob"":0.8684},{""offset"":204,""char"":""例"",""error_prob"":0.871},{""offset"":416,""char"":""麥"",""error_prob"":0.9609}]"
120,"[{""offset"":260,""char"":""兇"",""error_prob"":0.9817}]"
121,"[{""offset"":75,""char"":""机"",""error_prob"":0.9871},{""offset"":110,""char"":""淂"",""error_prob"":0.991},{""offset"":117,""char"":""琣"",""error_prob"":0.9914},{""offset"":125,""char"":""叟"",""error_prob"":0.8648},{""offset"":143,""char"":""昼"",""error_prob"":0.9843},{""offset"":146,""char"":""㒷"",""error_prob"":0.8746},{""offset"":197,""char"":""峦"",""error_prob"":0.8711},{""offset"":240,""char"":""汍"",""error_prob"":0.8383}]"
122,"[{""offset"":98,""char"":""昼"",""error_prob"":0.8981},{""offset"":155,""char"":""忌"",""error_prob"":0.9698},{""offset"":189,""char"":""即"",""error_prob"":0.8902},{""offset"":230,""char"":""令"",""error_prob"":0.9914}]"
123,"[{""offset"":65,""char"":""心"",""error_prob"":0.8973},{""offset"":108,""char"":""宥"",""error_prob"":0.9854}]"
124,"[{""offset"":173,""char"":""設"",""error_prob"":0.9258},{""offset"":217,""char"":""慫"",""error_prob"":0.9713},{""offset"":218,""char"":""哉"",""error_prob"":0.9322},{""offset"":250,""char"":""鵉"",""error_prob"":0.8039}]"
125,"[{""offset"":30,""char"":""衡"",""error_prob"":0.8156},{""offset"":44,""char"":""却"",""error_prob"":0.8156},{""offset"":45,""char"":""伶"",""error_prob"":0.9689},{""offset"":85,""char"":""帰"",""error_prob"":0.9983},{""offset"":123,""char"":""九"",""error_prob"":0.8701}]"
126,"[{""offset"":7,""char"":""瘸"",""error_prob"":0.9542},{""offset"":34,""char"":""黠"",""error_prob"":0.9069},{""offset"":189,""char"":""現"",""error_prob"":0.9676},{""offset"":309,""char"":""線"",""error_prob"":0.8944}]"
127,"[{""offset"":36,""char"":""庵"",""error_prob"":0.992},{""offset"":40,""char"":""馬"",""error_prob"":0.9641},{""offset"":100,""char"":""樂"",""error_prob"":0.9139},{""offset"":307,""char"":""線"",""error_prob"":0.9674}]"
128,[]
129,"[{""offset"":21,""char"":""楽"",""error_prob"":0.8244},{""offset"":38,""char"":""邦"",""error_prob"":0.9105},{""offset"":365,""char"":""現"",""error_prob"":0.9896}]"
130,[]
131,"[{""offset"":14,""char"":""米"",""error_prob"":0.9492},{""offset"":248,""char"":""自"",""error_prob"":0.9685}]"
132,"[{""offset"":92,""char"":""已"",""error_prob"":0.9295}]"
133,"[{""offset"":99,""char"":""吟"",""error_prob"":0.9526},{""offset"":162,""char"":""㹠"",""error_prob"":0.914},{""offset"":201,""char"":""鳥"",""error_prob"":0.8969},{""offset"":222,""char"":""之"",""error_prob"":0.9363}]"
134,"[{""offset"":134,""char"":""拭"",""error_prob"":0.8467},{""offset"":431,""char"":""宅"",""error_prob"":0.8592}]"
135,"[{""offset"":144,""char"":""曰"",""error_prob"":0.9847},{""offset"":211,""char"":""隂"",""error_prob"":0.911},{""offset"":281,""char"":""米"",""error_prob"":0.8397},{""offset"":294,""char"":""目"",""error_prob"":0.9913},{""offset"":366,""char"":""爲"",""error_prob"":0.8086}]"
136,"[{""offset"":120,""char"":""刺"",""error_prob"":0.8139},{""offset"":156,""char"":""笄"",""error_prob"":0.94},{""offset"":228,""char"":""躃"",""error_prob"":0.9071},{""offset"":443,""char"":""比"",""error_prob"":0.8724}]"
137,"[{""offset"":14,""char"":""卑"",""error_prob"":0.9558},{""offset"":285,""char"":""佳"",""error_prob"":0.9927},{""offset"":297,""char"":""備"",""error_prob"":0.8423}]"
138,"[{""offset"":36,""char"":""未"",""error_prob"":0.9618},{""offset"":117,""char"":""隨"",""error_prob"":0.9233},{""offset"":181,""char"":""烘"",""error_prob"":0.8806},{""offset"":200,""char"":""鎻"",""error_prob"":0.9478},{""offset"":255,""char"":""繳"",""error_prob"":0.8541},{""offset"":268,""char"":""技"",""error_prob"":0.9837},{""offset"":273,""char"":""摯"",""error_prob"":0.8408},{""offset"":293,""char"":""擽"",""error_prob"":0.9947}]"
139,"[{""offset"":0,""char"":""正"",""error_prob"":0.9276},{""offset"":1,""char"":""蒲"",""error_prob"":0.9682},{""offset"":55,""char"":""脯"",""error_prob"":0.8813},{""offset"":62,""char"":""持"",""error_prob"":0.9838},{""offset"":184,""char"":""具"",""error_prob"":0.9036},{""offset"":185,""char"":""敖"",""error_prob"":0.9604},{""offset"":204,""char"":""鮮"",""error_prob"":0.8812},{""offset"":239,""char"":""埛"",""error_prob"":0.8866},{""offset"":299,""char"":""抎"",""error_prob"":0.9659},{""offset"":312,""char"":""熱"",""error_prob"":0.8846}]"
140,"[{""offset"":188,""char"":""鑣"",""error_prob"":0.9517},{""offset"":241,""char"":""冗"",""error_prob"":0.9503},{""offset"":460,""char"":""梢"",""error_prob"":0.9868}]"
141,[]
142,"[{""offset"":92,""char"":""丗"",""error_prob"":0.995},{""offset"":114,""char"":""丗"",""error_prob"":0.9946},{""offset"":127,""char"":""丗"",""error_prob"":0.9932}]"
143,[]
144,"[{""offset"":113,""char"":""比"",""error_prob"":0.9027},{""offset"":164,""char"":""純"",""error_prob"":0.8497},{""offset"":292,""char"":""刈"",""error_prob"":0.9232},{""offset"":405,""char"":""維"",""error_prob"":0.943},{""offset"":412,""char"":""刈"",""error_prob"":0.8811}]"
145,"[{""offset"":16,""char"":""推"",""error_prob"":0.8489},{""offset"":150,""char"":""宗"",""error_prob"":0.9952},{""offset"":432,""char"":""潤"",""error_prob"":0.8057},{""offset"":541,""char"":""卿"",""error_prob"":0.9681},{""offset"":616,""char"":""廹"",""error_prob"":0.9732}]"
146,[]
147,"[{""offset"":97,""char"":""璨"",""error_prob"":0.9752},{""offset"":148,""char"":""璨"",""error_prob"":0.9637}]"
148,"[{""offset"":384,""char"":""邉"",""error_prob"":0.9877}]"
149,"[{""offset"":10,""char"":""䳇"",""error_prob"":0.8868},{""offset"":269,""char"":""鷔"",""error_prob"":0.9053},{""offset"":351,""char"":""㸲"",""error_prob"":0.8864},{""offset"":378,""char"":""徯"",""error_prob"":0.8659},{""offset"":395,""char"":""鳥"",""error_prob"":0.8592},{""offset"":424,""char"":""鳥"",""error_prob"":0.8521}]"
150,"[{""offset"":231,""char"":""畫"",""error_prob"":0.8781},{""offset"":446,""char"":""闘"",""error_prob"":0.8994}]"
151,"[{""offset"":122,""char"":""篤"",""error_prob"":0.9163},{""offset"":253,""char"":""泝"",""error_prob"":0.8187},{""offset"":323,""char"":""誚"",""error_prob"":0.8965},{""offset"":353,""char"":""已"",""error_prob"":0.8908},{""offset"":414,""char"":""鴒"",""error_prob"":0.9966},{""offset"":456,""char"":""逍"",""error_prob"":0.9941}]"
152,"[{""offset"":55,""char"":""俚"",""error_prob"":0.9512},{""offset"":65,""char"":""寂"",""error_prob"":0.9677}]"
153,[]
154,"[{""offset"":72,""char"":""表"",""error_prob"":0.8133},{""offset"":73,""char"":""而"",""error_prob"":0.8983},{""offset"":74,""char"":""哉"",""error_prob"":0.9866},{""offset"":147,""char"":""嚙"",""error_prob"":0.8167},{""offset"":165,""char"":""倈"",""error_prob"":0.8651},{""offset"":177,""char"":""歌"",""error_prob"":0.987},{""offset"":341,""char"":""詠"",""error_prob"":0.9937}]"
155,"[{""offset"":68,""char"":""扸"",""error_prob"":0.9964}]"
156,[]
157,"[{""offset"":6,""char"":""興"",""error_prob"":0.9404},{""offset"":53,""char"":""子"",""error_prob"":0.8575},{""offset"":150,""char"":""潑"",""error_prob"":0.9052},{""offset"":220,""char"":""貧"",""error_prob"":0.8898},{""offset"":330,""char"":""着"",""error_prob"":0.9411},{""offset"":364,""char"":""荅"",""error_prob"":0.8206},{""offset"":391,""char"":""巽"",""error_prob"":0.9508}]"
158,"[{""offset"":4,""char"":""鄴"",""error_prob"":0.8685},{""offset"":38,""char"":""処"",""error_prob"":0.9951},{""offset"":66,""char"":""沒"",""error_prob"":0.978},{""offset"":74,""char"":""牧"",""error_prob"":0.9172},{""offset"":106,""char"":""紱"",""error_prob"":0.9666},{""offset"":132,""char"":""庒"",""error_prob"":0.8802},{""offset"":221,""char"":""技"",""error_prob"":0.9912},{""offset"":223,""char"":""鄭"",""error_prob"":0.9697},{""offset"":226,""char"":""幃"",""error_prob"":0.8044},{""offset"":232,""char"":""綵"",""error_prob"":0.8302},{""offset"":241,""char"":""籍"",""error_prob"":0.9114},{""offset"":292,""char"":""呂"",""error_prob"":0.9745}]"
159,"[{""offset"":7,""char"":""李"",""error_prob"":0.9737},{""offset"":131,""char"":""翁"",""error_prob"":0.9894},{""offset"":223,""char"":""即"",""error_prob"":0.9236},{""offset"":279,""char"":""懈"",""error_prob"":0.9145},{""offset"":335,""char"":""蠲"",""error_prob"":0.8861},{""offset"":379,""char"":""煙"",""error_prob"":0.8037},{""offset"":488,""char"":""邁"",""error_prob"":0.959},{""offset"":620,""char"":""赤"",""error_prob"":0.818},{""offset"":628,""char"":""甘"",""error_prob"":0.9454},{""offset"":691,""char"":""與"",""error_prob"":0.9735}]"
160,"[{""offset"":45,""char"":""筆"",""error_prob"":0.9775},{""offset"":70,""char"":""資"",""error_prob"":0.9815},{""offset"":267,""char"":""良"",""error_prob"":0.8884},{""offset"":395,""char"":""㢤"",""error_prob"":0.8656},{""offset"":398,""char"":""心"",""error_prob"":0.8323},{""offset"":644,""char"":""筆"",""error_prob"":0.8474},{""offset"":667,""char"":""杨"",""error_prob"":0.9932},{""offset"":705,""char"":""興"",""error_prob"":0.9619}]"
